"id","text","traditional","english","russian"
"Contact_Desc","我们利用了有限的业余时间设计并制作了该软件，虽然它还不完美，但我会努力听取大家的意见完善到最好。
<color=yellow>
目前后续规划的有：
1、鱼蛋HUD增强：支持自定义显示到HUD的组件，包含巡航红绿灯、胎压等。
2、鱼蛋桌面：支持分屏、导航、音乐等的桌面软件，卡片组件化，自定义布局展示。</color>

如果有意见、建议，请通过以下方式联系我，如果不适配你车型，也可以联系我适配。
QQ群：  849847247
邮箱：egostudio@foxmail.com
抖音：    @深蓝时光机
小红书：@深蓝时光机
公众号：@深蓝时光机

开发者：
程序：    鱼蛋
设计师：Astory、鱼蛋
技术支持：Steve' Yang

感谢：那咋了、朝一等、小付有台Z6、有聪哥、燃油的z6等群友的辛苦测试，也感谢一路上的网友。","我們利用了有限的業餘時間設計並製作了該軟件，雖然它還不完美，但我會努力聽取大家的意見完善到最好。
<color=yellow>
目前後續規劃的有：
1、魚蛋HUD增強：支持自定義顯示到HUD的組件，包含巡航紅綠燈、胎壓等。
2、魚蛋桌面：支持分屏、導航、音樂等的桌面軟件，卡片組件化，自定義布局展示。</color>

如果有意見、建議，請通過以下方式聯繫我，如果不適配你車型，也可以聯繫我適配。
QQ群：  849847247
郵箱：egostudio@foxmail.com
抖音：    @深藍時光機
小紅書：@深藍時光機
公眾號：@深藍時光機

開發者：
程序：    魚蛋
設計師：Astory、魚蛋
技術支持：Steve' Yang

感謝：那咋了、朝一等、小付有台Z6、有聰哥、燃油的z6等群友的辛苦測試，也感謝一路上的網友。","We designed and produced this software using our limited spare time. Although it is not perfect yet, we will try our best to listen to everyone's opinions and improve it to the best.
<color=yellow>
Current future plans:
1. Yudan HUD Enhancement: Support custom components displayed on HUD, including cruise traffic lights, tire pressure, etc.
2. Yudan Desktop: Desktop software supporting split screen, navigation, music, etc., with card componentization and custom layout display.</color>

If you have any comments or suggestions, please contact me through the following methods. If it is not compatible with your car model, you can also contact me for adaptation.
Email: egostudio@foxmail.com
Douyin: @深蓝时光机
Xiaohongshu: @深蓝时光机
Official Account: @深蓝时光机

Developers:
Programmer: Felix
Designers: Astory, Felix
Technical Support: Steve' Yang","Мы разработали и произвели это программное обеспечение, используя наше ограниченное свободное время. Хотя оно еще не идеально, мы постараемся услышать мнение всех и улучшить его до наилучшего.
<color=yellow>
Текущие планы на будущее:
1. Улучшение Yudan HUD: поддержка пользовательских компонентов, отображаемых на HUD, включая светофоры круизного контроля, давление в шинах и т.д.
2. Yudan Desktop: настольное программное обеспечение, поддерживающее разделенный экран, навигацию, музыку и т.д., с компонентами карточек и пользовательским отображением макета.</color>

Если у вас есть комментарии или предложения, пожалуйста, свяжитесь со мной через следующие методы. Если оно не совместимо с вашей моделью автомобиля, вы также можете связаться со мной для адаптации.
Электронная почта: egostudio@foxmail.com
Douyin: @深蓝时光机
Xiaohongshu: @深蓝时光机
Официальный аккаунт: @深蓝时光机

Разработчики:
Программист: Felix
Дизайнеры: Astory, Felix
Техническая поддержка: Steve' Yang"
"Contact_Warning","*软件已申请软著，请勿盗用，违者必究!","*軟件已申請軟著，請勿盜用，違者必究!","*The software has applied for software copyright. Please do not plagiarize. Violators will be prosecuted!","*Программное обеспечение зарегистрировано авторским правом. Пожалуйста, не плагинируйте. Нарушители будут привлечены к ответственности!"
"Record_Title","录音","錄音","Recording","Запись"
"Record_StopText","点击结束录音","點擊結束錄音","Click to Stop Recording","Нажмите, чтобы остановить запись"
"Record_StartText","点击开始录音","點擊開始錄音","Click to Start Recording","Нажмите, чтобы начать запись"
"InputHolder","请输入文本......","請輸入文本......","Please enter text......","Пожалуйста, введите текст......"
"TextToSpeech_Generate","生成语音","生成語音","Generate Voice","Сгенерировать голос"
"TextToSpeech_VoiceTitle","语音设置","語音設置","Voice Settings","Настройки голоса"
"TextToSpeech_RoleText","音色选择：","音色選擇：","Voice Selection:","Выбор голоса:"
"TextToSpeech_TryText","试听","試聽","Try Listening","Попробовать прослушать"
"TextToSpeech_SpeedText","语速：","語速：","Speech Speed:","Скорость речи:"
"TextToSpeech_ToneText","语调：","語調：","Tone:","Тон:"
"TextToSpeech_SaveText","保存设置","保存設置","Save Settings","Сохранить настройки"
"TextToSpeech_NeedEnterText","请输入文本","請輸入文本","Please enter text","Пожалуйста, введите текст"
"TextToSpeech_NeedSelectVoice","请选择音色","請選擇音色","Please select a voice","Пожалуйста, выберите голос"
"TextToSpeech_GenerateFail","音频生成失败:{0}","音頻生成失敗:{0}","Failed to generate audio: {0}","Ошибка создания аудио: {0}"
"TextToSpeech_LoadSpeakerNoData","音色文件解析失败","音色文件解析失敗","Failed to parse voice file","Ошибка анализа файла голоса"
"TextToSpeech_LoadSpeakerError","解析失败:{0}","解析失敗:{0}","Parse error: {0}","Ошибка анализа: {0}"
"TextToSpeech_LoadSpeakerFail","音色列表加载失败:{0}","音色列表加載失敗:{0}","Failed to load voice list: {0}","Ошибка загрузки списка голосов: {0}"
"TextToSpeech_PreviewToneText","测试音色","測試音色","Test Voice","Тестовый голос"

"Update_Title","更新提示","更新提示","Update Notification","Уведомление об обновлении"
"Update_BackgroundToggle","后台下载","後台下載","Background Download","Загрузка в фоновом режиме"
"Update_StartBtn","开始更新","開始更新","Start Update","Начать обновление"
"Update_ManualStartBtn","手动更新","手動更新","Manual Update","Ручное обновление"
"Update_UpdateFail","更新失败？","更新失敗？","Update Failed?","Обновление не удалось?"
"Update_NoUpdate","没有可用的更新","沒有可用的更新","No Updates Available","Нет доступных обновлений"
"Update_StartUpdate","开始下载，请稍候...","開始下載，請稍候...","Start downloading, please wait...","Начните загрузку, пожалуйста, подождите..."
"Update_Downloading","下载中","下載中","Downloading","Загрузка"
"Update_Downloaded","下载完成，已经启动安装...","下載完成，已經啟動安裝...","Download completed, installation started...","Загрузка завершена, установка началась..."
"Update_DownloadFail","下载失败: {0}","下載失敗: {0}","Download failed: {0}","Загрузка не удалась: {0}"
"Update_InstallFailed","安装失败: {0}","安裝失敗: {0}","Installation failed: {0}","Установка не удалась: {0}"
"Update_RequestUpdateInfoFail","请求更新信息失败: {0}","請求更新信息失敗: {0}","Failed to request update info: {0}","Не удалось запросить информацию об обновлении: {0}"
"Update_RequestUpdateInfo","正在查询更新信息，请稍候......","正在查詢更新信息，請稍候......","Querying update information, please wait......","Запрос информации об обновлении, пожалуйста, подождите......"
"Update_IsLatest","已经是最新版本了","已經是最新版本了","Already the latest version","Уже последняя версия"
"Update_HasUpdate","检测到新版本: {0}({1})","檢測到新版本: {0}({1})","New version detected: {0}({1})","Обнаружена новая версия: {0}({1})"
"Update_CurrentVersion","当前版本","當前版本","Current Version","Текущая версия"
"Update_AppName","应用名称:","應用名稱:","App Name:","Название приложения:"
"Update_AppSize","版本大小:","版本大小:","Version Size:","Размер версии:"
"Update_AppTime","版本更新时间:","版本更新時間:","Version Update Time:","Время обновления версии:"
"Update_UpdateContent","版本更新内容:","版本更新內容:","Version Update Content:","Содержание обновления версии:"
"Update_DownloadBtn","开始下载","開始下載","Start Download","Начать загрузку"
"Update_ReDownloadBtn","重新下载","重新下載","Redownload","Перезагрузить"
"Update_OpenDownloadFail","启动下载失败","啟動下載失敗","Failed to start download","Не удалось начать загрузку"
"Update_SkipThisVersion","跳过此版本","跳過此版本","Skip This Version","Пропустить эту версию"

"App_AutoBackToDesktopTip","5秒后自动返回桌面","5秒後自动回到桌面","Return to desktop in 5 seconds","Вернуться на рабочий стол через 5 секунд"

